root@comp3134-lab:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:08:53.260905 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 3952:4156, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 204
20:08:53.260946 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4156:4192, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.261002 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4192:4380, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 188
20:08:53.261041 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4380:4416, ack 1, win 501, options [nop,nop,TS val 1052717894 ecr 3412766433], length 36
20:08:53.281903 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 4416, win 5513, options [nop,nop,TS val 3412766518 ecr 1052717894], length 0
20:08:53.281990 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4416:4880, ack 1, win 501, options [nop,nop,TS val 1052717915 ecr 3412766518], length 464
20:08:53.301730 IP 104.158.142.20.61766 > 147.182.153.187.22: Flags [.], ack 4880, win 5547, options [nop,nop,TS val 3412766538 ecr 1052717915], length 0
20:08:53.363758 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 4880:5084, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364007 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5084:5120, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 36
20:08:53.364119 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5120:5324, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364164 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5324:5360, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 36
20:08:53.364227 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5360:5564, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364265 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5564:5600, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 36
20:08:53.364316 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5600:5804, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364346 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5804:5840, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 36
20:08:53.364389 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 5840:6044, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364419 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6044:6080, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 36
20:08:53.364459 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6080:6284, ack 1, win 501, options [nop,nop,TS val 1052717997 ecr 3412766538], length 204
20:08:53.364489 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6284:6320, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 36
20:08:53.364528 IP 147.182.153.187.22 > 104.158.142.20.61766: Flags [P.], seq 6320:6524, ack 1, win 501, options [nop,nop,TS val 1052717998 ecr 3412766538], length 204
